rat,age,gtyp,sex,stage,variable,value
20241011b,Adult,fa/+,F,empa_minus_vehicle,excretion_na,-0.131
20241029c,Adult,fa/+,F,empa_minus_vehicle,excretion_na,-0.0284
20241029b,Adult,fa/+,F,empa_minus_vehicle,excretion_na,0.0853999999999999
20241022a,Adult,fa/+,F,empa_minus_vehicle,excretion_na,0.0608
20241015b,Adult,fa/+,M,empa_minus_vehicle,excretion_na,-0.1018
20241015a,Adult,fa/+,M,empa_minus_vehicle,excretion_na,0.017
20240816b,Young,fa/+,F,empa_minus_vehicle,excretion_na,0.3030999999999999
20240820a,Young,fa/+,M,empa_minus_vehicle,excretion_na,-0.3266
20240821b,Young,fa/+,M,empa_minus_vehicle,excretion_na,-0.1745999999999999
20240822b,Young,fa/+,M,empa_minus_vehicle,excretion_na,0.1504999999999999
20241023b,Adult,fa/fa,F,empa_minus_vehicle,excretion_na,0.8607
20241024a,Adult,fa/fa,F,empa_minus_vehicle,excretion_na,0.3696
20241025a,Adult,fa/fa,F,empa_minus_vehicle,excretion_na,1.2416
20241030a,Adult,fa/fa,F,empa_minus_vehicle,excretion_na,-0.1754
20241030b,Adult,fa/fa,F,empa_minus_vehicle,excretion_na,-0.1892
20241021a,Adult,fa/fa,M,empa_minus_vehicle,excretion_na,0.0938000000000001
20241022b,Adult,fa/fa,M,empa_minus_vehicle,excretion_na,2.8130000000000006
20241028a,Adult,fa/fa,M,empa_minus_vehicle,excretion_na,0.9962
20241029a,Adult,fa/fa,M,empa_minus_vehicle,excretion_na,0.2105999999999999
20240823a,Young,fa/fa,F,empa_minus_vehicle,excretion_na,0.7788000000000004
20240823b,Young,fa/fa,F,empa_minus_vehicle,excretion_na,0.024
20240816a,Young,fa/fa,F,empa_minus_vehicle,excretion_na,-0.4103999999999996
20240815b,Young,fa/fa,F,empa_minus_vehicle,excretion_na,0.1137999999999999
20240814a,Young,fa/fa,M,empa_minus_vehicle,excretion_na,2.8026
20240821a,Young,fa/fa,M,empa_minus_vehicle,excretion_na,0.5583
20240820b,Young,fa/fa,M,empa_minus_vehicle,excretion_na,0.0905
20240813a,Young,fa/fa,M,empa_minus_vehicle,excretion_na,-0.0021
