,rat,age,gtyp,sex,excretion_glucose,excretion_na,plasma_na,urine_flow,glucose_blood
0,20241011a,Adult,fa/+,F,1.1542,,104.0,5.8,14.9
1,20241011b,Adult,fa/+,F,0.0871,0.9045,104.0,6.7,14.5
2,20241014a,Adult,fa/+,F,0.8184000000000001,,108.0,4.4,14.3
3,20241014b,Adult,fa/+,M,0.648,,108.0,1.8,16.1
4,20241015a,Adult,fa/+,M,2.146,0.1702,100.0,7.4,20.9
5,20241015b,Adult,fa/+,M,3.193,0.4738,104.0,10.3,20.8
6,20241021a,Adult,fa/fa,M,16.709,1.8326,112.0,53.9,
7,20241022a,Adult,fa/+,F,1.6928,0.9292,108.0,9.2,15.9
8,20241022b,Adult,fa/fa,M,19.158,1.6068,112.0,61.8,32.4
9,20241023a,Adult,fa/+,M,1.16,,104.0,4.0,22.3
10,20241023b,Adult,fa/fa,F,8.928,1.1997,112.0,27.9,29.9
11,20241024a,Adult,fa/fa,F,4.774,0.8316,104.0,15.4,25.2
12,20241025a,Adult,fa/fa,F,9.009,1.4742000000000002,104.0,27.3,27.5
13,20241028a,Adult,fa/fa,M,16.718,3.215,112.0,64.3,31.95
14,20241029a,Adult,fa/fa,M,0.3,0.033,96.0,1.0,
15,20241029b,Adult,fa/+,F,1.769,0.305,120.0,6.1,16.7
16,20241029c,Adult,fa/+,F,1.2545,0.9555,108.0,6.5,14.3
17,20241030a,Adult,fa/fa,F,15.05,1.634,104.0,43.0,30.9
18,20241030b,Adult,fa/fa,F,17.045,1.2662,84.0,48.7,29.9
19,20240813a,Young,fa/fa,M,4.8950000000000005,0.1157,108.0,8.9,
20,20240814a,Young,fa/fa,M,20.945,0.994,108.0,35.5,30.2
21,20240815a,Young,fa/+,F,1.68,,104.0,5.6,18.4
22,20240815b,Young,fa/fa,F,16.240000000000002,1.363,108.0,29.0,31.6
23,20240816a,Young,fa/fa,F,11.016,1.8144,116.0,32.4,
24,20240816b,Young,fa/+,F,1.8145,1.2445,108.0,9.5,16.7
25,20240820a,Young,fa/+,M,1.6198,1.1375,112.0,9.1,14.3
26,20240820b,Young,fa/fa,M,16.776,1.165,116.0,46.6,30.4
27,20240821a,Young,fa/fa,M,14.976,1.9552,92.0,41.6,
28,20240821b,Young,fa/+,M,2.211,0.3752,104.0,6.7,18.4
29,20240822b,Young,fa/+,M,0.714,0.0651,108.0,2.1,17.8
30,20240823a,Young,fa/fa,F,11.165,1.7226,88.0,31.9,32.2
31,20240823b,Young,fa/fa,F,3.103,0.8131999999999999,96.0,10.7,21.6
32,20240826a,Young,fa/+,M,0.387,,100.0,1.8,
33,20241021b,Adult,fa/+,F,,,112.0,,15.8
34,20240826b,Young,fa/+,F,,,112.0,7.6,
