,treatment,rat,gtyp,age,sex,glucose
0,beforeAnesthesia,20241011a,fa/+,Adult,F,6.4
1,vehicle,20241011a,fa/+,Adult,F,14.9
2,empa,20241011a,fa/+,Adult,F,14.0
6,vehicle,20241011b,fa/+,Adult,F,14.5
7,empa,20241011b,fa/+,Adult,F,11.0
10,beforeAnesthesia,20241014a,fa/+,Adult,F,8.0
11,vehicle,20241014a,fa/+,Adult,F,14.3
12,empa,20241014a,fa/+,Adult,F,11.8
15,beforeAnesthesia,20241014b,fa/+,Adult,M,10.6
16,vehicle,20241014b,fa/+,Adult,M,16.1
20,beforeAnesthesia,20241015a,fa/+,Adult,M,6.5
21,vehicle,20241015a,fa/+,Adult,M,20.9
22,empa,20241015a,fa/+,Adult,M,18.5
25,beforeAnesthesia,20241015b,fa/+,Adult,M,7.0
26,vehicle,20241015b,fa/+,Adult,M,20.8
27,empa,20241015b,fa/+,Adult,M,17.6
32,empa,20241021a,fa/fa,Adult,M,33.0
35,beforeAnesthesia,20241021b,fa/+,Adult,F,7.1
36,vehicle,20241021b,fa/+,Adult,F,15.8
37,empa,20241021b,fa/+,Adult,F,15.1
39,vehicle,20241022a,fa/+,Adult,F,15.9
40,empa,20241022a,fa/+,Adult,F,14.9
44,vehicle,20241022b,fa/fa,Adult,M,32.4
45,empa,20241022b,fa/fa,Adult,M,27.2
48,beforeAnesthesia,20241023a,fa/+,Adult,M,7.2
49,vehicle,20241023a,fa/+,Adult,M,22.3
50,empa,20241023a,fa/+,Adult,M,18.7
53,beforeAnesthesia,20241023b,fa/fa,Adult,F,28.7
54,vehicle,20241023b,fa/fa,Adult,F,29.9
55,empa,20241023b,fa/fa,Adult,F,27.2
58,beforeAnesthesia,20241024a,fa/fa,Adult,F,17.2
59,vehicle,20241024a,fa/fa,Adult,F,25.2
60,empa,20241024a,fa/fa,Adult,F,24.8
63,beforeAnesthesia,20241024b,fa/+,Adult,M,8.0
65,empa,20241024b,fa/+,Adult,M,18.3
68,vehicle,20241025a,fa/fa,Adult,F,27.5
69,empa,20241025a,fa/fa,Adult,F,21.95
73,vehicle,20241028a,fa/fa,Adult,M,31.95
74,empa,20241028a,fa/fa,Adult,M,29.0
82,beforeAnesthesia,20241029b,fa/+,Adult,F,6.3
83,vehicle,20241029b,fa/+,Adult,F,16.7
84,empa,20241029b,fa/+,Adult,F,16.23
88,vehicle,20241029c,fa/+,Adult,F,14.3
89,empa,20241029c,fa/+,Adult,F,11.4
93,vehicle,20241030a,fa/fa,Adult,F,30.9
94,empa,20241030a,fa/fa,Adult,F,27.86666667
98,vehicle,20241030b,fa/fa,Adult,F,29.9
99,empa,20241030b,fa/fa,Adult,F,27.75
108,beforeAnesthesia,20240814a,fa/fa,Young,M,31.6
109,vehicle,20240814a,fa/fa,Young,M,30.2
110,empa,20240814a,fa/fa,Young,M,25.0
113,beforeAnesthesia,20240815a,fa/+,Young,F,7.7
114,vehicle,20240815a,fa/+,Young,F,18.4
115,empa,20240815a,fa/+,Young,F,17.8
119,vehicle,20240815b,fa/fa,Young,F,31.6
120,empa,20240815b,fa/fa,Young,F,29.6
128,beforeAnesthesia,20240816b,fa/+,Young,F,6.9
129,vehicle,20240816b,fa/+,Young,F,16.7
130,empa,20240816b,fa/+,Young,F,15.8
133,beforeAnesthesia,20240820a,fa/+,Young,M,6.5
134,vehicle,20240820a,fa/+,Young,M,14.3
135,empa,20240820a,fa/+,Young,M,11.5
139,vehicle,20240820b,fa/fa,Young,M,30.4
140,empa,20240820b,fa/fa,Young,M,29.2
143,beforeAnesthesia,20240821a,fa/fa,Young,M,33.2
148,beforeAnesthesia,20240821b,fa/+,Young,M,7.1
149,vehicle,20240821b,fa/+,Young,M,18.4
150,empa,20240821b,fa/+,Young,M,14.8
153,beforeAnesthesia,20240822a,fa/+,Young,F,6.5
158,beforeAnesthesia,20240822b,fa/+,Young,M,8.0
159,vehicle,20240822b,fa/+,Young,M,17.8
160,empa,20240822b,fa/+,Young,M,11.4
163,beforeAnesthesia,20240823a,fa/fa,Young,F,27.5
164,vehicle,20240823a,fa/fa,Young,F,32.2
165,empa,20240823a,fa/fa,Young,F,29.5
168,beforeAnesthesia,20240823b,fa/fa,Young,F,14.7
169,vehicle,20240823b,fa/fa,Young,F,21.6
170,empa,20240823b,fa/fa,Young,F,18.45
173,beforeAnesthesia,20240826a,fa/+,Young,M,9.2
